拾悦城 3室2厅86.33m²满五唯一,3室2厅,86.33㎡,毛坯,高层(共32层),南,有电梯,365万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅88.18m²满五唯一,3室2厅,88.18㎡,精装,高层(共32层),东,有电梯,375万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅86.12m²满五唯一,3室2厅,86.12㎡,精装,高层(共32层),东南,有电梯,388万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅85.93m²满五唯一,3室2厅,85.93㎡,精装,低层(共32层),南,有电梯,380万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅88.05m²精装修,3室2厅,88.05㎡,精装,低层(共32层),东南,有电梯,360万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅80.76m²满五唯一,3室2厅,80.76㎡,精装,低层(共32层),东南,有电梯,380万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
拾悦城 3室2厅87.81m²满五年,3室2厅,87.81㎡,精装,低层(共32层),南,有电梯,365万,"拾悦城
                                        

                                        宝安
                                        -
                                        沙井"
四海云亭 3室2厅89.23m²满五唯一,3室2厅,89.23㎡,毛坯,高层(共33层),南,有电梯,390万,"四海云亭
                                        

                                        宝安
                                        -
                                        沙井"
湾景时代公馆 新桥高速路口 精装复式 三房二厅 了有阳台,3室2厅,71.14㎡,精装,高层(共20层),西南,有电梯,300万,"湾景时代公馆
                                        

                                        宝安
                                        -
                                        沙井"
四海云亭 宝安沙井11号线后亭站，精装高楼层业主急卖价格可谈,3室2厅,89.59㎡,精装,高层(共33层),南,有电梯,370万,"四海云亭
                                        

                                        宝安
                                        -
                                        沙井"
万科星城 3室2厅81.19m²满五年,3室2厅,81.19㎡,精装,高层(共45层),东南,有电梯,360万,"万科星城
                                        

                                        宝安
                                        -
                                        沙井"
棕榈堡 3室2厅75.69m²满五唯一,3室2厅,75.69㎡,简装,低层(共18层),南,有电梯,367万,"棕榈堡
                                        

                                        宝安
                                        -
                                        沙井"
中熙香莎公馆 3室2厅82.93m²精装修,3室2厅,82.93㎡,精装,低层(共32层),北,有电梯,365万,"中熙香莎公馆
                                        

                                        宝安
                                        -
                                        沙井"
